district,ur,cpi_code,cpi_category,category_district_spend,household_count,avg_spend_rwf,total_district_spend,basket_share_pct
Kayonza,Urban,04,Housing and utilities,70148155.50594369,36.0,7428.0,788536103.376883,8.9
Kayonza,Urban,05,Furnishing and household,33666241.598922946,25.0,5656.0,788536103.376883,4.27
Kayonza,Urban,06,Health,40704027.39169359,22.0,8008.0,788536103.376883,5.16
Kayonza,Urban,07,Transport,44625022.6896335,4.0,37900.0,788536103.376883,5.66
Kayonza,Urban,08,Communication,2456131.7447650284,13.0,731.0,788536103.376883,0.31
Kayonza,Urban,09,Recreation and culture,7257388.005652713,3.0,10333.0,788536103.376883,0.92
Kayonza,Urban,10,Education,725018.9378830799,15.0,200.0,788536103.376883,0.09
Kayonza,Urban,12,Miscellaneous,16667724.966645462,17.0,3941.0,788536103.376883,2.11
Kayonza,Rural,01,Food and non-alcoholic beverages,1025526404.5560478,413.0,9865.0,3255754689.863919,31.5
Kayonza,Rural,02,Alcoholic beverages and tobacco,6750943.782069308,18.0,1531.0,3255754689.863919,0.21
Kayonza,Rural,03,Clothing and footwear,786703528.4073772,137.0,21592.0,3255754689.863919,24.16
Kayonza,Rural,04,Housing and utilities,436555712.7140771,329.0,5192.0,3255754689.863919,13.41
Kayonza,Rural,05,Furnishing and household,407324720.8018799,129.0,12613.0,3255754689.863919,12.51
Kayonza,Rural,06,Health,390182862.6222406,84.0,19573.0,3255754689.863919,11.98
Kayonza,Rural,07,Transport,41129438.685047686,34.0,4938.0,3255754689.863919,1.26
Kayonza,Rural,08,Communication,4499712.73524839,36.0,493.0,3255754689.863919,0.14
Kayonza,Rural,09,Recreation and culture,28640839.886818904,10.0,12290.0,3255754689.863919,0.88
Kayonza,Rural,10,Education,19978579.46845746,97.0,868.0,3255754689.863919,0.61
Kayonza,Rural,12,Miscellaneous,108461946.20465425,97.0,4480.0,3255754689.863919,3.33
Kirehe,Urban,01,Food and non-alcoholic beverages,97708633.38762689,27.0,12407.0,336496703.3703087,29.04
Kirehe,Urban,03,Clothing and footwear,85376799.17739028,15.0,19147.0,336496703.3703087,25.37
Kirehe,Urban,04,Housing and utilities,44971062.778294966,23.0,6814.0,336496703.3703087,13.36
Kirehe,Urban,05,Furnishing and household,54431394.91270917,16.0,11653.0,336496703.3703087,16.18
Kirehe,Urban,06,Health,39745457.92838612,7.0,19257.0,336496703.3703087,11.81
Kirehe,Urban,07,Transport,1923052.1574295966,2.0,3250.0,336496703.3703087,0.57
Kirehe,Urban,08,Communication,1287801.2398034343,7.0,629.0,336496703.3703087,0.38
Kirehe,Urban,09,Recreation and culture,1123581.6266358215,3.0,1333.0,336496703.3703087,0.33
Kirehe,Urban,12,Miscellaneous,9928920.162032465,9.0,3778.0,336496703.3703087,2.95
Kirehe,Rural,01,Food and non-alcoholic beverages,1062974803.2777164,458.0,10770.0,4451445202.487836,23.88
Kirehe,Rural,02,Alcoholic beverages and tobacco,28518713.63286789,19.0,7200.0,4451445202.487836,0.64
Kirehe,Rural,03,Clothing and footwear,780547058.6457613,196.0,19014.0,4451445202.487836,17.53
Kirehe,Rural,04,Housing and utilities,1443520128.8260279,403.0,16963.0,4451445202.487836,32.43
Kirehe,Rural,05,Furnishing and household,598437486.3657423,269.0,10416.0,4451445202.487836,13.44
Kirehe,Rural,06,Health,390470901.6464462,73.0,24392.0,4451445202.487836,8.77
Kirehe,Rural,07,Transport,17945953.95232251,35.0,2340.0,4451445202.487836,0.4
Kirehe,Rural,08,Communication,8559809.77473034,89.0,453.0,4451445202.487836,0.19
Kirehe,Rural,09,Recreation and culture,5517111.512539029,29.0,905.0,4451445202.487836,0.12
Kirehe,Rural,10,Education,249631.5233785822,3.0,400.0,4451445202.487836,0.01
Kirehe,Rural,12,Miscellaneous,114703603.33030307,125.0,4385.0,4451445202.487836,2.58
Ngoma,Urban,01,Food and non-alcoholic beverages,133205330.22348867,45.0,13907.0,476634049.12524104,27.95
Ngoma,Urban,03,Clothing and footwear,128961621.73788008,20.0,29750.0,476634049.12524104,27.06
Ngoma,Urban,04,Housing and utilities,116861993.50393307,29.0,20286.0,476634049.12524104,24.52
Ngoma,Urban,05,Furnishing and household,34384471.95427017,15.0,12107.0,476634049.12524104,7.21
Ngoma,Urban,06,Health,14573276.347106077,10.0,6740.0,476634049.12524104,3.06
Ngoma,Urban,07,Transport,139472.66666666666,1.0,700.0,476634049.12524104,0.03
Ngoma,Urban,08,Communication,7991989.46385057,6.0,7600.0,476634049.12524104,1.68
Ngoma,Urban,09,Recreation and culture,275020.13619844045,2.0,700.0,476634049.12524104,0.06
Ngoma,Urban,10,Education,106752.90215588725,1.0,500.0,476634049.12524104,0.02
Ngoma,Urban,11,Restaurants and hotels,17058783.882783882,2.0,47500.0,476634049.12524104,3.58
Ngoma,Urban,12,Miscellaneous,23075336.306907516,14.0,8700.0,476634049.12524104,4.84
Ngoma,Rural,01,Food and non-alcoholic beverages,833043634.7469292,441.0,8991.0,2808715263.9269056,29.66
