Province,U_R,COICOP,Category_Name,Weight,Weight_pct,Date,CPI_Index,Year,Month,YearMonth,YoY_pct,MoM_pct
0,0,00,GENERAL INDEX (CPI),10000.000000000005,100.00000000000004,2009-02-01,79.838043201999,2009,2,2009-02,,
0,0,00,GENERAL INDEX (CPI),10000.000000000005,100.00000000000004,2009-03-01,81.85671552853542,2009,3,2009-03,,2.528459172563835
0,0,00,GENERAL INDEX (CPI),10000.000000000005,100.00000000000004,2009-04-01,81.61253869932321,2009,4,2009-04,,-0.2982978581972162
0,0,00,GENERAL INDEX (CPI),10000.000000000005,100.00000000000004,2009-05-01,81.87123690187046,2009,5,2009-05,,0.3169834031267582
0,0,00,GENERAL INDEX (CPI),10000.000000000005,100.00000000000004,2009-06-01,79.90664409169169,2009,6,2009-06,,-2.3996129587409376
0,0,00,GENERAL INDEX (CPI),10000.000000000005,100.00000000000004,2009-07-01,82.33578599084153,2009,7,2009-07,,3.0399748691265716
0,0,00,GENERAL INDEX (CPI),10000.000000000005,100.00000000000004,2009-08-01,82.49249454987554,2009,8,2009-08,,0.1903286124595338
0,0,00,GENERAL INDEX (CPI),10000.000000000005,100.00000000000004,2009-09-01,84.06527375375761,2009,9,2009-09,,1.9065724857322053
0,0,00,GENERAL INDEX (CPI),10000.000000000005,100.00000000000004,2009-10-01,85.84860369238736,2009,10,2009-10,,2.1213633870430737
0,0,00,GENERAL INDEX (CPI),10000.000000000005,100.00000000000004,2009-11-01,88.24277268229272,2009,11,2009-11,,2.7888269429333423
0,0,00,GENERAL INDEX (CPI),10000.000000000005,100.00000000000004,2009-12-01,87.35849898585775,2009,12,2009-12,,-1.0020919215885216
0,0,00,GENERAL INDEX (CPI),10000.000000000005,100.00000000000004,2010-01-01,84.94961555362332,2010,1,2010-01,,-2.75746888991808
0,0,00,GENERAL INDEX (CPI),10000.000000000005,100.00000000000004,2010-02-01,82.80416004302845,2010,2,2010-02,3.715167258702534,-2.5255623543588346
0,0,00,GENERAL INDEX (CPI),10000.000000000005,100.00000000000004,2010-03-01,83.43020136387925,2010,3,2010-03,1.9222440397028917,0.7560505662100647
0,0,00,GENERAL INDEX (CPI),10000.000000000005,100.00000000000004,2010-04-01,82.13248711658485,2010,4,2010-04,0.6370937916503783,-1.555449017358157
0,0,00,GENERAL INDEX (CPI),10000.000000000005,100.00000000000004,2010-05-01,82.13596602116833,2010,5,2010-05,0.32334813704497645,0.004235722922318885
0,0,00,GENERAL INDEX (CPI),10000.000000000005,100.00000000000004,2010-06-01,81.48661117056959,2010,6,2010-06,1.9772662171432254,-0.790585272268407
0,0,00,GENERAL INDEX (CPI),10000.000000000005,100.00000000000004,2010-07-01,80.50635437125008,2010,7,2010-07,-2.2219155347529496,-1.2029667024287094
0,0,00,GENERAL INDEX (CPI),10000.000000000005,100.00000000000004,2010-08-01,81.34551619466038,2010,8,2010-08,-1.3904032863519489,1.0423547680976197
0,0,00,GENERAL INDEX (CPI),10000.000000000005,100.00000000000004,2010-09-01,83.71121517504396,2010,9,2010-09,-0.42117102925370853,2.908210668578759
0,0,00,GENERAL INDEX (CPI),10000.000000000005,100.00000000000004,2010-10-01,83.89281075819036,2010,10,2010-10,-2.278188403861514,0.216931008308352
0,0,00,GENERAL INDEX (CPI),10000.000000000005,100.00000000000004,2010-11-01,83.4973802765091,2010,11,2010-11,-5.3776555989110015,-0.47135204805693887
0,0,00,GENERAL INDEX (CPI),10000.000000000005,100.00000000000004,2010-12-01,81.66115688802458,2010,12,2010-12,-6.521794861374053,-2.1991389219682245
0,0,00,GENERAL INDEX (CPI),10000.000000000005,100.00000000000004,2011-01-01,80.26951760351959,2011,1,2011-01,-5.509263249283903,-1.7041630776958416
0,0,00,GENERAL INDEX (CPI),10000.000000000005,100.00000000000004,2011-02-01,80.38524996557922,2011,2,2011-02,-2.9212422131838056,0.14417971543230212
0,0,00,GENERAL INDEX (CPI),10000.000000000005,100.00000000000004,2011-03-01,81.7337445155553,2011,3,2011-03,-2.033384578475228,1.6775397856615637
0,0,00,GENERAL INDEX (CPI),10000.000000000005,100.00000000000004,2011-04-01,84.63687343539284,2011,4,2011-04,3.0492030702212514,3.551934316780292
0,0,00,GENERAL INDEX (CPI),10000.000000000005,100.00000000000004,2011-05-01,85.27104248381552,2011,5,2011-05,3.8169350340862884,0.7492822249710818
0,0,00,GENERAL INDEX (CPI),10000.000000000005,100.00000000000004,2011-06-01,85.9586732372083,2011,6,2011-06,5.488094304569491,0.80640594199759
