COICOP,Category_Name,Weight,Weight_pct
01,Food and non-alcoholic beverages,3903.5428337111343,39.03542833711134
01.1.1,v     Bread and cereals,662.2591994582781,6.622591994582781
01.1.2,v     Meat,173.7715732678241,1.737715732678241
01.1.4,"v     Milk, cheese and eggs",112.97526668095993,1.1297526668095994
01.1.7,v     Vegetables,1842.8570486570281,18.42857048657028
01.2,v     Non-alcoholic beverages,114.62930950425736,1.1462930950425736
02,Alcoholic beverages and tobacco,680.8440217778525,6.808440217778525
03,Clothing and footwear,530.9944773078367,5.309944773078367
04,"Housing, water, electricity, gas and other fuels",1827.7758311936157,18.277758311936157
05,"Furnishing, household equipment and routine household maintenance",345.92335209688025,3.4592335209688025
06,Health,121.09522911844475,1.2109522911844475
07,Transport,772.5927231856721,7.72592723185672
08,Communication,238.1321768462081,2.381321768462081
09,Recreation and culture,218.13981330048003,2.1813981330048002
10,Education,200.9885867838568,2.009885867838568
11,Restaurants and hotels,643.9875038495742,6.4398750384957415
12,Miscellaneous goods and services,515.9834508284413,5.159834508284413
