hhid,cpi_code,cpi_category,total_spend_rwf
300131.0,01,Food and non-alcoholic beverages,36757.5
300132.0,01,Food and non-alcoholic beverages,12029.25
300133.0,01,Food and non-alcoholic beverages,28948.925
300134.0,01,Food and non-alcoholic beverages,79063.33
300135.0,01,Food and non-alcoholic beverages,25850.5
300136.0,01,Food and non-alcoholic beverages,33250.0
300137.0,01,Food and non-alcoholic beverages,45350.625
300138.0,01,Food and non-alcoholic beverages,8400.0
300139.0,01,Food and non-alcoholic beverages,27150.0
300140.0,01,Food and non-alcoholic beverages,22200.0
300142.0,01,Food and non-alcoholic beverages,41050.0
300144.0,01,Food and non-alcoholic beverages,45853.5
300145.0,01,Food and non-alcoholic beverages,35830.0
300146.0,01,Food and non-alcoholic beverages,13355.696
300147.0,01,Food and non-alcoholic beverages,11550.0
300148.0,01,Food and non-alcoholic beverages,54601.0
300149.0,01,Food and non-alcoholic beverages,16540.75
300150.0,01,Food and non-alcoholic beverages,69354.0
300151.0,01,Food and non-alcoholic beverages,34400.0
300152.0,01,Food and non-alcoholic beverages,49250.5
300153.0,01,Food and non-alcoholic beverages,29200.0
300154.0,01,Food and non-alcoholic beverages,14601.325
300155.0,01,Food and non-alcoholic beverages,12101.75
300156.0,01,Food and non-alcoholic beverages,43302.0
300157.0,01,Food and non-alcoholic beverages,14411.5
300158.0,01,Food and non-alcoholic beverages,11060.5
300159.0,01,Food and non-alcoholic beverages,16612.5
300160.0,01,Food and non-alcoholic beverages,17920.0
300161.0,01,Food and non-alcoholic beverages,4100.46
300162.0,01,Food and non-alcoholic beverages,21718.25
300163.0,01,Food and non-alcoholic beverages,10690.0
300164.0,01,Food and non-alcoholic beverages,13601.082
300165.0,01,Food and non-alcoholic beverages,10704.3
300166.0,01,Food and non-alcoholic beverages,22672.0
300168.0,01,Food and non-alcoholic beverages,27000.0
300169.0,01,Food and non-alcoholic beverages,3940.0
300170.0,01,Food and non-alcoholic beverages,23295.125
300171.0,01,Food and non-alcoholic beverages,53701.5
300172.0,01,Food and non-alcoholic beverages,22435.1
300173.0,01,Food and non-alcoholic beverages,20800.0
300174.0,01,Food and non-alcoholic beverages,17373.0
300176.0,01,Food and non-alcoholic beverages,9300.0
300177.0,01,Food and non-alcoholic beverages,16250.5
300178.0,01,Food and non-alcoholic beverages,26100.0
300179.0,01,Food and non-alcoholic beverages,21660.0
300180.0,01,Food and non-alcoholic beverages,13607.0
300181.0,01,Food and non-alcoholic beverages,5530.0
300182.0,01,Food and non-alcoholic beverages,12200.5
300183.0,01,Food and non-alcoholic beverages,6300.45
300184.0,01,Food and non-alcoholic beverages,30420.0
300185.0,01,Food and non-alcoholic beverages,40170.0
300186.0,01,Food and non-alcoholic beverages,10420.0
300187.0,01,Food and non-alcoholic beverages,5700.0
300188.0,01,Food and non-alcoholic beverages,35990.0
300189.0,01,Food and non-alcoholic beverages,24064.008
300190.0,01,Food and non-alcoholic beverages,11080.5
300191.0,01,Food and non-alcoholic beverages,16151.5
300192.0,01,Food and non-alcoholic beverages,5412.0
300193.0,01,Food and non-alcoholic beverages,30818.2
300194.0,01,Food and non-alcoholic beverages,11664.5
300195.0,01,Food and non-alcoholic beverages,5572.76
300196.0,01,Food and non-alcoholic beverages,10409.005
300197.0,01,Food and non-alcoholic beverages,44243.505
300198.0,01,Food and non-alcoholic beverages,15810.0
300199.0,01,Food and non-alcoholic beverages,48000.0
300200.0,01,Food and non-alcoholic beverages,1400.0
300201.0,01,Food and non-alcoholic beverages,13640.0
300202.0,01,Food and non-alcoholic beverages,17403.9
300203.0,01,Food and non-alcoholic beverages,15502.65
300204.0,01,Food and non-alcoholic beverages,26500.0
300205.0,01,Food and non-alcoholic beverages,49226.8
300206.0,01,Food and non-alcoholic beverages,52350.0
300207.0,01,Food and non-alcoholic beverages,3402.4
300208.0,01,Food and non-alcoholic beverages,17231.25
300209.0,01,Food and non-alcoholic beverages,18701.6
300210.0,01,Food and non-alcoholic beverages,8152.55
300211.0,01,Food and non-alcoholic beverages,15801.2
300212.0,01,Food and non-alcoholic beverages,12081.0
300213.0,01,Food and non-alcoholic beverages,25901.5
300214.0,01,Food and non-alcoholic beverages,21380.002
300215.0,01,Food and non-alcoholic beverages,8403.0
300216.0,01,Food and non-alcoholic beverages,17250.75
300217.0,01,Food and non-alcoholic beverages,17240.0
300218.0,01,Food and non-alcoholic beverages,13722.466
300219.0,01,Food and non-alcoholic beverages,10150.0
300220.0,01,Food and non-alcoholic beverages,16667.3
300221.0,01,Food and non-alcoholic beverages,12950.0
300222.0,01,Food and non-alcoholic beverages,32230.0
300223.0,01,Food and non-alcoholic beverages,16634.71
300224.0,01,Food and non-alcoholic beverages,11490.0
300226.0,01,Food and non-alcoholic beverages,5978.95
300227.0,01,Food and non-alcoholic beverages,10924.2
300228.0,01,Food and non-alcoholic beverages,11910.0
300229.0,01,Food and non-alcoholic beverages,19750.0
300231.0,01,Food and non-alcoholic beverages,54770.0
300232.0,01,Food and non-alcoholic beverages,63840.0
300233.0,01,Food and non-alcoholic beverages,16081.258
300234.0,01,Food and non-alcoholic beverages,61600.0
300235.0,01,Food and non-alcoholic beverages,12052.25
300236.0,01,Food and non-alcoholic beverages,8955.5
300237.0,01,Food and non-alcoholic beverages,9860.0
300238.0,01,Food and non-alcoholic beverages,23323.7
300239.0,01,Food and non-alcoholic beverages,5622.0
300240.0,01,Food and non-alcoholic beverages,13301.79
300241.0,01,Food and non-alcoholic beverages,25850.053
300242.0,01,Food and non-alcoholic beverages,81752.8
300243.0,01,Food and non-alcoholic beverages,19254.515
300244.0,01,Food and non-alcoholic beverages,9307.215
300245.0,01,Food and non-alcoholic beverages,38311.5
300246.0,01,Food and non-alcoholic beverages,31850.0
300247.0,01,Food and non-alcoholic beverages,7151.9
300248.0,01,Food and non-alcoholic beverages,37050.0
300249.0,01,Food and non-alcoholic beverages,8650.0
300250.0,01,Food and non-alcoholic beverages,17800.0
300251.0,01,Food and non-alcoholic beverages,36431.0
300252.0,01,Food and non-alcoholic beverages,18060.75
300253.0,01,Food and non-alcoholic beverages,10315.0
300254.0,01,Food and non-alcoholic beverages,32320.0
300255.0,01,Food and non-alcoholic beverages,26000.0
300256.0,01,Food and non-alcoholic beverages,7300.0
300257.0,01,Food and non-alcoholic beverages,23450.0
300258.0,01,Food and non-alcoholic beverages,21800.0
300259.0,01,Food and non-alcoholic beverages,130191.8
300260.0,01,Food and non-alcoholic beverages,21460.0
300261.0,01,Food and non-alcoholic beverages,22350.25
300262.0,01,Food and non-alcoholic beverages,19461.25
300263.0,01,Food and non-alcoholic beverages,13900.0
300264.0,01,Food and non-alcoholic beverages,18404.25
300265.0,01,Food and non-alcoholic beverages,37201.5
300266.0,01,Food and non-alcoholic beverages,36254.0
300267.0,01,Food and non-alcoholic beverages,89409.034
300268.0,01,Food and non-alcoholic beverages,24256.35
300270.0,01,Food and non-alcoholic beverages,8730.0
300271.0,01,Food and non-alcoholic beverages,16500.0
300272.0,01,Food and non-alcoholic beverages,31793.2
300273.0,01,Food and non-alcoholic beverages,29904.3
300275.0,01,Food and non-alcoholic beverages,19755.0
300276.0,01,Food and non-alcoholic beverages,7100.0
300277.0,01,Food and non-alcoholic beverages,33369.261
300278.0,01,Food and non-alcoholic beverages,15256.426
300280.0,01,Food and non-alcoholic beverages,4700.0
300281.0,01,Food and non-alcoholic beverages,30200.5
300282.0,01,Food and non-alcoholic beverages,36350.0
300283.0,01,Food and non-alcoholic beverages,36504.8
